issue,id,state,labels,assignees,comments,closed_at,created_at,locked,last_update
32,57808064,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x""), Label(name=""pr"")]","[NamedUser(login=""dougwilson"")]",14,2015-02-23 06:04:25,2015-02-16 14:07:21,False,2015-02-23 16:42:31
33,57791872,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",0,2015-02-23 06:04:25,2015-02-16 11:13:48,False,2015-02-23 06:04:25
34,56140499,closed,"[Label(name=""bug""), Label(name=""4.x""), Label(name=""pr"")]","[NamedUser(login=""dougwilson"")]",4,2015-01-31 22:29:50,2015-01-31 21:35:53,False,2015-02-01 20:39:44
35,54068424,closed,"[Label(name=""bug"")]","[NamedUser(login=""dougwilson"")]",32,2022-02-17 16:05:35,2015-01-12 15:46:13,False,2022-02-17 16:06:45
36,54061408,closed,"[Label(name=""bug""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",8,2015-01-12 23:48:50,2015-01-12 14:48:31,False,2015-01-13 17:47:23
37,53924481,closed,"[Label(name=""bug""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",3,2015-06-21 04:30:24,2015-01-09 22:42:24,False,2015-06-21 04:30:24
38,52965343,closed,"[Label(name=""bug""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",4,2015-01-04 23:26:41,2014-12-27 20:37:15,False,2015-01-04 23:26:41
39,51770042,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x""), Label(name=""pr"")]","[NamedUser(login=""dougwilson"")]",6,2014-12-13 03:07:15,2014-12-12 04:39:42,False,2014-12-13 05:48:33
40,51585534,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],0,2014-12-10 17:26:14,2014-12-10 17:21:02,False,2014-12-10 17:26:14
41,50798136,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",1,2015-01-14 03:28:59,2014-12-03 07:57:21,False,2015-01-14 03:28:59
42,50797738,closed,"[Label(name=""bug""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",0,2015-01-05 00:07:51,2014-12-03 07:54:01,False,2015-01-05 00:07:51
43,49871327,closed,"[Label(name=""bug""), Label(name=""4.x""), Label(name=""pr"")]","[NamedUser(login=""dougwilson"")]",3,2014-11-25 04:29:13,2014-11-24 09:46:04,False,2014-11-25 04:29:13
44,48201517,closed,"[Label(name=""bug""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",9,2014-11-23 21:53:37,2014-11-09 13:35:58,True,2014-11-24 08:52:54
45,47108282,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x""), Label(name=""pr"")]",[],16,2014-10-29 04:33:32,2014-10-29 03:40:49,False,2014-10-29 05:20:23
46,46386545,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x"")]",[],31,2014-10-24 05:16:00,2014-10-21 12:19:03,False,2014-12-25 16:34:50
47,46158950,closed,"[Label(name=""bug""), Label(name=""4.x""), Label(name=""pr"")]",[],1,2014-10-18 01:38:58,2014-10-18 01:23:26,False,2014-10-18 02:05:25
48,46158742,closed,"[Label(name=""bug""), Label(name=""4.x""), Label(name=""pr"")]",[],5,2014-10-18 01:16:54,2014-10-18 01:15:25,False,2014-10-18 01:27:51
49,45819303,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],13,2014-10-24 02:31:37,2014-10-15 01:10:17,True,2014-12-08 18:05:55
50,45503721,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],4,2014-10-10 20:32:10,2014-10-10 17:23:22,False,2014-10-15 23:17:24
51,43283040,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x"")]",[],2,2014-09-20 02:57:24,2014-09-19 21:09:34,True,2014-09-20 06:08:46
52,43054430,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],5,2014-09-18 03:04:47,2014-09-17 19:46:57,False,2014-09-18 03:54:38
53,43042758,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],2,2014-09-18 03:04:47,2014-09-17 17:53:59,False,2014-09-18 03:54:51
54,42667982,closed,"[Label(name=""bug""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",6,2014-09-12 21:47:38,2014-09-12 20:35:00,False,2014-09-17 17:05:22
55,42301713,closed,"[Label(name=""bug""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",22,2014-09-11 21:04:51,2014-09-09 12:41:52,True,2014-10-07 04:31:23
56,40493368,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x"")]","[NamedUser(login=""dougwilson"")]",4,2014-09-09 03:50:53,2014-08-18 14:23:08,True,2014-09-09 03:50:53
57,39668901,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],1,2014-08-19 01:49:05,2014-08-06 21:37:17,False,2014-08-19 01:49:05
58,39535754,open,"[Label(name=""bug""), Label(name=""5.x"")]","[NamedUser(login=""dougwilson"")]",32,,2014-08-05 16:16:46,False,2020-10-22 13:19:08
59,38823917,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x"")]",[],17,2014-07-26 22:08:22,2014-07-26 18:55:50,False,2014-07-27 20:04:18
60,37732727,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],9,2014-07-13 02:08:07,2014-07-13 01:59:43,True,2014-07-13 02:41:51
61,37529712,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x"")]",[],13,2014-07-12 03:32:36,2014-07-10 03:48:14,True,2014-07-12 03:32:36
62,37326516,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],3,2014-07-08 02:01:58,2014-07-08 01:49:03,True,2014-07-08 04:20:35
63,36142410,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],0,2014-06-20 20:55:10,2014-06-20 05:42:30,True,2014-06-20 20:55:10
64,35701291,closed,"[Label(name=""bug"")]",[],4,2014-06-14 16:58:02,2014-06-13 19:44:41,True,2014-07-29 04:18:20
65,35619376,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],2,2014-06-12 20:22:59,2014-06-12 20:17:19,True,2014-06-12 20:56:31
66,35529603,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],9,2014-06-11 22:15:29,2014-06-11 21:32:54,False,2014-07-29 04:18:19
67,35242557,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],3,2014-06-08 21:42:13,2014-06-08 18:01:10,False,2014-07-29 04:18:20
68,35130175,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],1,2014-06-06 15:54:48,2014-06-06 09:11:28,False,2014-06-06 15:54:48
69,34522947,closed,"[Label(name=""bug"")]",[],7,2014-05-29 02:26:32,2014-05-29 01:56:15,False,2014-07-29 04:18:19
70,34171020,closed,"[Label(name=""bug"")]",[],30,2014-05-23 22:36:02,2014-05-23 12:39:54,False,2014-07-29 04:18:20
71,33753161,closed,"[Label(name=""bug""), Label(name=""enhancement""), Label(name=""4.x"")]",[],12,2014-05-18 20:21:32,2014-05-18 14:57:48,False,2014-05-19 12:55:21
72,33578975,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],14,2014-06-14 06:18:22,2014-05-15 12:04:22,False,2014-06-14 06:18:22
73,33103965,closed,"[Label(name=""bug""), Label(name=""3.x""), Label(name=""4.x"")]",[],0,2014-05-08 18:46:48,2014-05-08 17:17:57,False,2014-05-08 18:46:48
74,33008960,closed,"[Label(name=""bug"")]",[],0,2014-05-08 18:46:48,2014-05-07 17:57:59,False,2014-05-08 18:46:48
75,30945351,closed,"[Label(name=""bug"")]",[],9,2014-04-11 12:40:42,2014-04-06 20:05:59,True,2015-04-06 17:06:39
76,30523760,closed,"[Label(name=""bug"")]",[],13,2014-05-09 20:53:55,2014-03-31 15:50:12,False,2014-05-11 12:16:04
